MEAN_ELEV,NUTS3,comId
38.47534353,DEF01,01001
25.50810879,DEF02,01002
4.175324513,DEF05,01051
3.978534792,DEF07,01054
28.41469413,DEF08,01055
10.67426559,DEF09,01056
35.37863162,DEF0A,01057
18.62459988,DEF0B,01058
21.07407378,DEF0C,01059
8.898563318,DEF0E,01061
16.84899035,DE600,02000
4.727620677,DE932,03352
12.40580619,DE939,03359
-0.820419229,DE942,03402
0.058464584,DE945,03405
1.914056036,DE947,03452
2.070124767,DE94A,03455
1.406686957,DE94C,03457
2.426158223,DE94H,03462
5.31371195,DE501,04011
1.925207879,DE502,04012
536.7595602,DE138,08335
35.15782703,DE803,13003
14.70655089,DE80L,13073
41.93105118,DE80M,13074
18.42241505,DE80N,13075
12.95537209880,DEF03,01003
24.00762232250,DEF04,01004
40.87954605540,DEF06,01053
34.85323990740,DEF0D,01060
39.93757688530,DEF0F,01062
80.71842642270,DE911,03101
118.33411531700,DE912,03102
83.52200643630,DE913,03103
74.96429808950,DE914,03151
387.79618388300,DE916,03153
121.40367795000,DE917,03154
233.17958055800,DE918,03155
74.52985712430,DE91A,03157
132.15944240400,DE91B,03158
297.35607334000,DE91C,03159
65.85620140970,DE929,03241
38.38654765910,DE922,03251
169.28696972800,DE923,03252
145.35790715100,DE925,03254
246.48436846600,DE926,03255
37.46451473090,DE927,03256
110.43874287600,DE928,03257
64.74990392840,DE931,03351
49.15581863990,DE933,03353
40.90808559040,DE934,03354
39.41563188130,DE935,03355
13.32274802720,DE936,03356
28.42854668860,DE937,03357
65.81054422840,DE938,03358
72.45886940470,DE93A,03360
21.66846341210,DE93B,03361
7.14270526266,DE941,03401
5.93823977318,DE943,03403
84.37396413320,DE944,03404
7.52190837349,DE946,03451
23.68527919980,DE948,03453
22.84092475120,DE949,03454
27.01120376520,DE94B,03456
25.55325240250,DE94D,03458
75.32426802630,DE94E,03459
44.34499720700,DE94F,03460
-1.28002543105,DE94G,03461
49.94814340600,DEA11,05111
30.87053951720,DEA12,05112
87.18418590000,DEA13,05113
36.55150639510,DEA14,05114
67.83624624900,DEA15,05116
70.35788731880,DEA16,05117
47.03516134920,DEA17,05119
287.01556245300,DEA18,05120
172.25500857500,DEA19,05122
240.63970523500,DEA1A,05124
25.85647223460,DEA1B,05154
123.72150144100,DEA1C,05158
52.51420302050,DEA1D,05162
49.22270065090,DEA1E,05166
31.72988260260,DEA1F,05170
109.91304878000,DEA22,05314
53.27056405200,DEA23,05315
75.70298434680,DEA24,05316
304.78335937400,DEA2D,05334
171.07850815900,DEA26,05358
87.67126411730,DEA27,05362
400.35085193200,DEA28,05366
73.51738872890,DEA29,05370
305.36252519500,DEA2A,05374
185.88713888500,DEA2B,05378
171.49374624800,DEA2C,05382
55.56683682830,DEA31,05512
54.14101209310,DEA32,05513
60.91503402050,DEA33,05515
53.01814678820,DEA34,05554
79.01706518980,DEA35,05558
64.00849275840,DEA36,05562
60.86973244480,DEA37,05566
75.87278385800,DEA38,05570
131.48273855300,DEA41,05711
91.91838841060,DEA42,05754
108.91806388800,DEA43,05758
230.12291892500,DEA44,05762
195.47472569000,DEA45,05766
63.98151644060,DEA46,05770
229.93734198300,DEA47,05774
106.60622480000,DEA51,05911
102.95619031000,DEA52,05913
208.99274680200,DEA53,05914
71.28887299190,DEA54,05915
60.14305755070,DEA55,05916
223.03864587700,DEA56,05954
453.40254343200,DEA57,05958
350.84840824500,DEA58,05962
428.79021595900,DEA59,05966
469.78556275900,DEA5A,05970
183.81309893800,DEA5B,05974
98.28169111180,DEA5C,05978
152.41997359700,DE711,06411
119.07369954900,DE712,06412
118.71157234300,DE713,06413
216.53414870600,DE714,06414
230.75461877200,DE715,06431
188.28841467500,DE716,06432
